precio,moneda,expenses,direccion,titulo,ubicacion,superficie,dormitorio,antiguedad,banos,ambientes,cocheras,toilett,estado,disposicion,parrilla,gimnasio,pileta,solarium,playroom,quincho,ascensor,departamento,provincia,municipio,url_link,localidad_barrio,provincia_region
175000.0,$,,JOSE BONIFACIO 1300,"Departamento en Alquiler en Caballito Sur, Caballito","Caballito Sur, Caballito",100.0,3.0,40.0,2.0,4.0,,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,Comuna 6,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-4-ambientes--12588343,Caballito Sur,Caballito
80000.0,$,25000.0,"Yerbal 2600, Piso 1","Departamento en Alquiler en Flores, Capital Federal","Flores, Capital Federal",,1.0,10.0,1.0,2.0,,,Muy Bueno,Frente,0,0,0,0,0,0,0,Comuna 7,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--12580893,Flores,Capital Federal
150000.0,$,36000.0,Gascon 800,"Departamento en Alquiler en Almagro, Capital Federal","Almagro, Capital Federal",75.0,2.0,2.0,1.0,4.0,,,,,0,0,0,0,0,0,0,Comuna 5,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-4-ambientes--12588768,Almagro,Capital Federal
85000.0,$,14000.0,Valle al 800,"Departamento en Alquiler en Caballito Sur, Caballito","Caballito Sur, Caballito",40.0,1.0,50.0,1.0,2.0,,,,,0,0,0,0,0,0,0,Comuna 6,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--12587984,Caballito Sur,Caballito
70000.0,$,10200.0,"LA PAMPA 4800, Piso 4","Departamento en Alquiler en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",36.0,1.0,35.0,1.0,2.0,,,Excelente,Lateral,0,0,0,0,0,0,0,Comuna 15,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--12588935,Villa Urquiza,Capital Federal
80000.0,$,4000.0,Dean Funes 1000,"Departamento en Alquiler en San Cristobal, Capital Federal","San Cristobal, Capital Federal",35.0,0.0,0.0,1.0,,,,Excelente,Frente,0,0,0,0,0,0,0,Comuna 3,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal--12589072,San Cristobal,Capital Federal
85000.0,$,12000.0,"Av Corrientes 3300, Piso 3","Departamento en Alquiler en Abasto, Capital Federal","Abasto, Capital Federal",42.0,1.0,,1.0,2.0,,,,,0,0,0,0,0,0,0,Comuna 5,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-abasto-2-ambientes--12589259,Abasto,Capital Federal
410000.0,$,39600.0,Av Cramer al 2200,"Departamento en Alquiler en Belgrano, Capital Federal","Belgrano, Capital Federal",78.0,2.0,2.0,2.0,3.0,1.0,,,,0,0,1,0,0,0,0,Comuna 13,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--12589478,Belgrano,Capital Federal
130000.0,$,17700.0,"Mendoza 5400, Piso 3","Departamento en Alquiler en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",51.0,1.0,7.0,2.0,2.0,,,Excelente,Frente,0,0,0,0,0,0,0,Comuna 12,Ciudad Autónoma de Buenos Aires,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--8089454,Villa Urquiza,Capital Federal
210000.0,$,29000.0,"SARGENTO CABRAL 800, Piso PB","Departamento en Alquiler en Retiro, Centro","Retiro, Centro",116.0,4.0,,3.0,5.0,,,Muy Bueno,Contra frente,0,0,0,0,0,0,0,,,,https://www.argenprop.com/departamento-en-alquiler-en-retiro-5-ambientes--12501428,Retiro,Centro
